"code"	"data"	"source"	"analysis"	"initial_ref"
"S-101"	"seq"	"VN"	"sample"	FALSE
"S-102"	"seq"	"VN"	"sample"	FALSE
"S-103"	"seq"	"VN"	"sample"	FALSE
"S-104"	"seq"	"VN"	"sample"	FALSE
"S-105"	"seq"	"VN"	"sample"	FALSE
"S-106"	"seq"	"VN"	"sample"	FALSE
"S-107"	"seq"	"VN"	NA	FALSE
"S-108"	"seq"	"VN"	NA	FALSE
"S-109A"	"seq"	"VN"	NA	FALSE
"S-110"	"seq"	"VN"	NA	FALSE
"S-111"	"seq"	"VN"	NA	FALSE
"S-112"	"seq"	"VN"	NA	FALSE
"S-113"	"seq"	"VN"	NA	FALSE
"S-114"	"seq"	"VN"	NA	FALSE
"S-115"	"seq"	"VN"	NA	FALSE
"S-116"	"seq"	"VN"	NA	FALSE
"S-117"	"seq"	"VN"	NA	FALSE
"S-118"	"seq"	"VN"	NA	FALSE
"S-119"	"seq"	"VN"	NA	FALSE
"S-120"	"seq"	"VN"	"sample"	FALSE
"S-121"	"seq"	"VN"	"sample"	FALSE
"S-122"	"seq"	"VN"	"sample"	FALSE
"S-123"	"seq"	"VN"	NA	FALSE
"S-124"	"seq"	"VN"	"sample"	FALSE
"S-125"	"seq"	"VN"	"sample"	FALSE
"S-126"	"seq"	"VN"	"sample"	FALSE
"S-127"	"seq"	"VN"	"sample"	FALSE
"S-128"	"seq"	"VN"	"sample"	FALSE
"S-129"	"seq"	"VN"	"sample"	FALSE
"S-130"	"seq"	"VN"	"sample"	FALSE
"S-131"	"seq"	"VN"	"sample"	FALSE
"S-132"	"seq"	"VN"	"sample"	FALSE
"S-133"	"seq"	"VN"	"sample"	FALSE
"S-134"	"seq"	"VN"	"sample"	FALSE
"S-135"	"seq"	"VN"	"sample"	FALSE
"S-136"	"seq"	"VN"	NA	FALSE
"S-137"	"seq"	"VN"	"sample"	FALSE
"S-138"	"seq"	"VN"	"sample"	FALSE
"S-139"	"seq"	"VN"	"sample"	FALSE
"S-140"	"seq"	"VN"	"sample"	FALSE
"S-141"	"seq"	"VN"	"sample"	FALSE
"T204_kasp"	"seq"	"AF"	NA	FALSE
"T444_kasp"	"seq"	"AF"	NA	FALSE
"T797_kasp"	"seq"	"AF"	NA	FALSE
"T921a_kasp"	"seq"	"AF"	NA	FALSE
"T921b_kasp"	"seq"	"AF"	NA	FALSE
"T1049_kasp"	"seq"	"AF"	NA	FALSE
"C36_kasp"	"seq"	"AF"	NA	FALSE
"C90_kasp"	"seq"	"AF"	NA	FALSE
"C96_kasp"	"seq"	"AF"	NA	FALSE
"C105_kasp"	"seq"	"AF"	NA	FALSE
"C107_kasp"	"seq"	"AF"	NA	FALSE
"C108_kasp"	"seq"	"AF"	NA	FALSE
"C111_kasp"	"seq"	"AF"	NA	FALSE
"M10a_kasp"	"seq"	"AF"	NA	FALSE
"M10b_kasp"	"seq"	"AF"	NA	FALSE
"M31_kasp"	"seq"	"AF"	NA	FALSE
"M36_kasp"	"seq"	"AF"	NA	FALSE
"M53_kasp"	"seq"	"AF"	NA	FALSE
"Togolese_kasp"	"seq"	"AF"	NA	FALSE
"Okondi_kasp"	"seq"	"AF"	NA	FALSE
"G37_kasp"	"seq"	"AF"	NA	FALSE
"G87_kasp"	"seq"	"AF"	NA	FALSE
"G129_kasp"	"seq"	"AF"	NA	FALSE
"Station gate_kasp"	"seq"	"AF"	NA	FALSE
"CampII_kasp"	"seq"	"AF"	NA	FALSE
"Iyamoye-1_kasp"	"seq"	"AF"	NA	FALSE
"Iyamoye-5_kasp"	"seq"	"AF"	NA	FALSE
"Omou-2_kasp"	"seq"	"AF"	NA	FALSE
"Oranre-1_kasp"	"seq"	"AF"	NA	FALSE
"Oranre-2_kasp"	"seq"	"AF"	NA	FALSE
"W104_kasp"	"seq"	"AF"	NA	FALSE
"F63_kasp"	"seq"	"AF"	NA	FALSE
"D57_kasp"	"seq"	"AF"	NA	FALSE
"H139_kasp"	"seq"	"AF"	NA	FALSE
"5_kasp"	"seq"	"AF"	NA	FALSE
"K5Y12Y1_kasp"	"seq"	"AF"	NA	FALSE
"K6Y67Y4_kasp"	"seq"	"AF"	NA	FALSE
"K7Y18Y4_kasp"	"seq"	"AF"	NA	FALSE
"K7Y20Y3_kasp"	"seq"	"AF"	NA	FALSE
"K7Y75Y3_kasp"	"seq"	"AF"	NA	FALSE
"S13Y16Y1_kasp"	"seq"	"AF"	NA	FALSE
"S16Y37Y5_kasp"	"seq"	"AF"	NA	FALSE
